Unnamed: 0,journal_title,pubmed,abstract
10,Cytokine ,32980687; ,"Hepatic fibrosis is characterized by abnormal accumulation of extracellular matrix (ECM). Hepatic stellate cells (HSCs) are the primary cells that produce ECM in response to hepatic injury, and transforming growth factor-beta (TGF-β) has been regarded as the central stimulus responsible for HSC-mediated ECM production. In the present study, we attempted to identify a critical factor in HSC activation and the underlying mechanism. By analyzing online microarray expression profiles, we found that the expression of high-affinity cationic amino acid transporter 1 (CAT1) was upregulated in hepatic fibrosis models and activated HSCs. We isolated and identified mouse HSCs (MHSCs) and found that in these cells, CAT1 was most highly upregulated by TGF-β1 stimulation in both time- and dose-dependent manners. In vitro, CAT1 overexpression further enhanced, while CAT1 silencing inhibited, the effect of TGF-β1 in promoting MHSC activation. In vivo, CAT1 silencing significantly improved the hepatic fibrosis induced by both CCl4 and non-alcoholic fatty liver disease (NAFLD). In summary, CAT1 was significantly upregulated in TGF-β1-activated MHSCs and mice with hepatic fibrosis. CAT1 silencing inhibited TGF-β1-induced MHSC activation in vitro and fibrogenic changes in vivo. CAT1 is a promising target for hepatic fibrosis treatment that requites further investigation in human cells and clinical practice."
11,International journal of molecular sciences ,36233327; ,"WRKYs are one of the largest transcription factor (TF) families and play an important role in plant resistance to various stresses. TaWRKY133, a group I WRKY protein, responds to a variety of abiotic stresses, including PEG treatment. The TaWRKY133 protein is located in the nucleus of tobacco epidermal cells, and both its N-terminal and C-terminal domains exhibit transcriptional activation activity. Overexpression of TaWRKY133 reduced drought tolerance in Arabidopsis thaliana, as reflected by a lower germination rate, shorter roots, higher stomatal aperture, poorer growth and lower antioxidant enzyme activities under drought treatment. Moreover, expression levels of stress-related genes (DREB2A, RD29A, RD29B, ABF1, ABA2, ABI1, SOD (Cu/Zn), POD1 and CAT1) were downregulated in transgenic Arabidopsis under drought stress. Gene silencing of TaWRKY133 enhanced the drought tolerance of wheat, as reflected in better growth, higher antioxidant enzyme activities, and higher expression levels of stress-related genes including DREB1, DREB3, ABF, ERF3, SOD (Fe), POD, CAT and P5CS. In conclusion, these results suggest that TaWRKY133 might reduce drought tolerance in plants by regulating the expression of stress-related genes."
12,Handbook of experimental pharmacology ,24756713; ,"TRPV6 (former synonyms ECAC2, CaT1, CaT-like) displays several specific features which makes it unique among the members of the mammalian Trp gene family (1) TRPV6 (and its closest relative, TRPV5) are the only highly Ca(2+)-selective channels of the entire TRP superfamily (Peng et al. 1999; Wissenbach et al. 2001; Voets et al. 2004). (2) Translation of Trpv6 initiates at a non-AUG codon, at ACG, located upstream of the annotated AUG, which is not used for initiation (Fecher-Trost et al. 2013). The ACG codon is nevertheless decoded by methionine. Not only a very rare event in eukaryotic biology, the full-length TRPV6 protein existing in vivo comprises an amino terminus extended by 40 amino acid residues compared to the annotated truncated TRPV6 protein which has been used in most studies on TRPV6 channel activity so far. (In the following numbering occurs according to this full-length protein, with the numbers of the so far annotated truncated protein in brackets). (3) Only in humans a coupled polymorphism of Trpv6 exists causing three amino acid exchanges and resulting in an ancestral Trpv6 haplotype and a so-called derived Trpv6 haplotype (Wissenbach et al. 2001). The ancestral allele encodes the amino acid residues C197(157), M418(378) and M721(681) and the derived alleles R197(157), V418(378) and T721(681). The ancestral haplotype is found in all species, the derived Trpv6 haplotype has only been identified in humans, and its frequency increases with the distance to the African continent. Apparently the Trpv6 gene has been a strong target for selection in humans, and its derived variant is one of the few examples showing consistently differences to the orthologues genes of other primates (Akey et al. 2004, 2006; Stajich and Hahn 2005; Hughes et al. 2008). (4) The Trpv6 gene expression is significantly upregulated in several human malignancies including the most common cancers, prostate and breast cancer (Wissenbach et al. 2001; Zhuang et al. 2002; Fixemer et al. 2003; Bolanz et al. 2008). (5) Male mice lacking functional TRPV6 channels are hypo-/infertile making TRPV6 one of the very few channels essential for male fertility (Weissgerber et al. 2011, 2012)."
13,Biochemical and biophysical research communications ,11676491; ,"The aniline-assimilating bacterium Acinetobacter lwoffii K24 has two cat gene clusters (cat1 and cat2). In this study, we completely sequenced 10-kb DNA fragment of cat1 genes of A. lwoffii K24, which had been cloned in plasmid pCD1-1. Sequence analysis revealed that the order of genes in the cat1 operon-containing gene cluster was ORF porin, catR1, catB1C1A1D, ORF1, and ORF2. Two ORFs located immediately downstream catD were most similar with two ORFs in cat gene cluster of Acinetobacter calcoaceticus ADP1 but the gene structure of catR1B1C1A1 was closest to that found in Frateurua sp. ANA-18 or Pseudomonas putida PRS2000. CatA1 gene product was significantly overexpressed and detected in SDS-PAGE when four cat1 genes (catB1C1A1D) were placed under the control of a lac promoter in pUC118 while overexpressions of other cat genes were accomplished under the control of a lac promoter in pET vector system. All gene products were verified by N-terminal amino acid sequencing. Gel retardation assay revealed that the putative regulatory gene activator CatR1 for the catB1C1A1 operon could bind the promoter region of catB2 as well as catB1, suggesting that transcription of catB1 or catB2 might be controlled by the putative gene activator CatR1. However, the promoter regions of catA1 and catA2 were found to have no affinity with catR1."
14,Biochemical and biophysical research communications ,9473520; ,"Previously, we have reported that two clustered cat genes from Acenitobacter lwoffi K24 had different arrangements, catB1C1A1 and catB2A2C2 (Kim, S.I., S.-H. Leem, J.-S. Choi, Y.H. Chung, S. Kim, Y.-M. Park, Y.K. Park, Y.N. Lee, and K.-S. Ha. 1997, J. Bacteriol. 179, 5226-5231). By further analysis of the organization of the cat1 gene cluster, we obtained a complete sequence of the catB1 gene, which encoded 40.8-kDa polypeptide containing 379 amino acids, and found a open reading frame (ORF) coding a putative regulatory protein in upstream region of catB1 on plasmid pCD1-1. This ORF encoded 34.2-kDa polypeptide containing 379 amino acids and had more than 40% identity with catR, LysR family regulatory protein of Pseudomonas putida. RT-PCR, Northern blot analysis and primer extension assay for transcriptional analysis of the cat1 gene cluster revealed that the catB1C1 genes were cotranscribed and the catA1 gene was independently transcribed."
15,Frontiers in microbiology ,34512562; ,"Biofilm is an accumulation of cells, which are formed on mucosal surfaces of the host as well as on medical devices. The inherent resistance of Candida strains producing biofilms to antimicrobial agents is an important and key feature for biofilm growth, which can lead to treatment failure. This resistance is due to the regulatory increase of the output pumps, the presence of extracellular matrix, and the existence of persister cells. Persister cells are phenotypic variants that have MICs similar to antibiotic-sensitive populations and are able to tolerate high doses of antibiotics. The current study investigated the possible role of EFG1, BCR1, and CAT1 in the establishment or maintenance of persister cells in Candida albicans strains that produce biofilms."
16,Advances in experimental medicine and biology ,34251635; ,"Amino acids have pleiotropic roles in animal biology including protein and glucose synthesis, cellular metabolism, antioxidant reactions, immune enhancers, and inducers or suppressors of gene expression. Recent studies have revealed important roles of amino acids in the regulation of gene expression in animals. Discoveries of cellular amino acid sensors and their mechanistic pathways have broadened our understanding of how the body responds to the deprivation of nutrients and amino acids in particular. Alterations in concentrations of extracellular amino acids can modulate transcription, translation, posttranscriptional modifications, and epigenetic regulation of genes and proteins. Cells have intracellular amino acid sensors, for example, Sestrin2 for leucine and CASTOR2 for arginine, that respond to sufficiency or deficiency in amino acids, thereby inhibiting or activating downstream signals for gene expression, respectively. The sufficiency of an amino acid in cells ensures its binding to cognate sensors and suppression of inhibitors of MTOR, leading to increased global protein synthesis. On the other hand, deprivation of amino acids activates the amino acid response pathway (GCN2-eIF2a-ATF4), leading to increased selective translation of the activating transcription factor 4 (ATF4). Deficiency of an amino acid itself or via the action of ATF4 suppression of MTORC1 activity limits global protein synthesis. ATF4, in response to low concentrations of cellular amino acids, mediates the transcription of groups of genes such as those for amino acid transport and biosynthesis (ASNS, CAT-1, SNAT2), autophagy (ATG3, ATG10, ATG12), and serine-glycine synthesis (PHGDH, PSAT1, PSPH, MTHFD2). Long-term amino acid starvation has a pronounced effect on cells: suppressed expression and translation of genes required for normal cell growth and metabolism and enhanced expression of genes required for cell adaptation and survival. Levels of amino acids also affect the posttranslational modifications of proteins through mechanisms such as acetylation, ADP-ribosylation, disulfide bond formation, glutamylation, and hydroxylation."
17,Biochemical and biophysical research communications ,11401523; ,"Ca(2+) signaling is important for growth and survival of prostatic carcinoma (PCa) cells. Here we report that the gene for CaT1, a channel protein highly selective for Ca(2+), is expressed at high levels in human PCa and in the LNCaP PCa cell line. CaT1 mRNA levels were elevated in PCa specimens in comparison to benign prostatic hyperplasia (BPH) specimens and positively correlated with Gleason grade in a PCa series. CaT1 mRNA was suppressed by androgen and was induced by a specific androgen receptor antagonist in LNCaP cells, suggesting that the gene is negatively regulated by androgen. These findings are the first to implicate a Ca(2+) channel in PCa progression and suggest that CaT1 may be a novel target for therapy."
18,mSphere ,30760608; ,"Clustered regularly interspaced short palindromic repeat (CRISPR) methodology is not only an efficient tool in gene editing but also an attractive platform to facilitate DNA, RNA, and protein interactions. We describe here the implementation of a CRISPR-based system to regulate expression in the clinically important yeast Candida albicans By fusing an allele of Streptococcus pyogenes Cas9 devoid of nuclease activity to a transcriptional repressor (Nrg1) or activator (Gal4), we were able to show specific repression or activation of the tester gene CAT1, encoding the cytosolic catalase. We generated strains where a 1.6-kbp upstream regulatory region of CAT1 controls the expression of the green fluorescent protein (GFP) and demonstrated the functionality of the constructs by quantitative PCR (qPCR), flow cytometry, and analysis of sensitivity/resistance to hydrogen peroxide. Activation and repression were strongly dependent on the position of the complex in this regulatory region. We also improved transcriptional activation using an RNA scaffolding strategy to allow interaction of inactive variants of Cas9 (dCas9) with the RNA binding protein MCP (monocyte chemoattractant protein) fused to the VP64 activator. The strategy shown here may facilitate the analysis of complex regulatory traits in this fungal pathogen.IMPORTANCE CRISPR technology is a new and efficient way to edit genomes, but it is also an appealing way to regulate gene expression. We have implemented CRISPR as a gene expression platform in Candida albicans using fusions between a Cas9 inactive enzyme and specific repressors or activators and demonstrated its functionality. This will allow future manipulation of complex virulence pathways in this important fungal pathogen."
19,Photodiagnosis and photodynamic therapy ,33857598; ,"The study evaluated the effect of antimicrobial photodynamic therapy (aPDT) and nystatin (NYS) in the expression of genes (ACT1, ALS1, CAP1, CAT1, EFG1, HWP1, LIP3, PLB1, SAP1, and SOD1) involved in the virulence of Candida albicans strains recovered from patients with denture stomatitis (DS). These strains were isolated from the patients before (initial) and after treatment (final), and 45 days after the treatments (follow-up). For gene expression analyses, RNA was isolated from the clinical strains, followed by cDNA synthesis and qPCR using specific primers for each target gene. The samples that present integrity were pooled to increase the RNA yield. In the end, four patients treated with aPDT and five patients treated with NYS had the clinical isolates of C. albicans submitted to gene expression evaluation. The data demonstrated a statistical difference in the expression of PLB1 and ACT1 for the different therapies (aPDT versus NYS). Also, there was a statistical difference in the expression of CAT1, SOD1, and LIP3 at the time intervals assessed (initial, final, and follow-up). In contrast, no statistical difference was found in the expression of ALS1, HWP1, EFG1, CAP1, CAT1, SOD1, LIP3, and SAP1 between the therapies, while no significant difference was detected at the time intervals evaluated for ALS1, HWP1, EFG1, CAP1, and SAP1. Therefore, the topical treatments for DS with aPDT or NYS did not effect the expression of most C. albicans virulence genes evaluated."
20,"Journal, genetic engineering & biotechnology ",30647630; ,"The response of Peganum harmala L. seedlings subjected to salinity was investigated through the observation of germination at the 4th, 6th and 8th days under normal and two salinity levels (150 and 200 mM NaCl). Genetic response of P. harmala was examined by quantitative estimation and electrophoretic separation of catalase and salt-soluble proteins. The gene expression of catalase and osmotin were investigated using RT-PCR. Final percentage of germination at the eighth day of germination was reduced from 85% in the control to 70 and 30% under the concentration of 150 and 200 mM. The catalase activity and protein content increased as the salinity increased compared to control seedlings. The electrophoretic separation of catalase and salt-soluble proteins exhibited stress-related isozymes and protein bands. RT-PCR of cat1, cat2-3 and cat3 and osmotin genes exhibited up-regulation and down-regulation of genes subsequent to salinity. The reduced germination percentage of salt stressed seedlings was attributed to oxidative damage and osmotic imbalance. The increased catalase activity and protein content were concluded as protective response of P. harmala seedlings to salinity induced oxidative stress and osmoregulation. The additional isozyme bands in the salt-stressed seedlings indicated modulation of CAT gene expression in response to elevated H2O2 subsequent to salinity. The stress specific gene expression was interpreted as molecular mechanism by which plants can tolerate salinity stress. The up-regulation of cat2-3 gene in relation to stress suggests it crucial role in salinity tolerance in P. harmala and further studies are needed for its sequence identification."
21,Genes ,36011356; ,"Kengyilia is a newly established genus. Most species in this genus survive in hash environment, which might be an indicator of an acquirement of stress resistance genes and the potential for molecular breeding in Triticeae species. Quantitative real-time PCR (qRT-PCR) is a widely used technique with varied sensitivity heavily dependent on the optimal level of the reference genes. K. melanthera is a typical psammophyte species which has high drought resistance. The reference genes of K. melanthera are not yet reported. This study aims to evaluate the expression stability of 14 candidate reference genes (EF1A, GAPDH, ACT1, UBI, TUBB3, TIPRL, CACS, PPP2R1B, TUBA1A, EIF4A1, CYPA3, TCTP, ABCG11L, and FBXO6L) under five treatments (drought, heat, cold, salt, and ABA) and find the most stable and suitable one even upon stressed conditions. The software NormFinder, GeNorm, BestKeeper, and RefFinder were used for data analysis. In general, the genes CACS and PPP2R1B are concluded to have the best overall performance under the various treatments. With the ABA treatment, TCTP and TIPRL show the best stability. CACS and TCTP, as well as TIPRL and CYPA3, were most stable under the treatments of cold and salt, respectively. CACS and FBXO6L were ranked the highest with the heat treatment and drought treatment, respectively. Finally, the Catalase-1 (CAT1) gene was used to verify the reliability of the above reference genes. Accordingly, CAT1's expression pattern remained unchanged after normalization with stable reference genes. This study provides beneficial information about the stability and reliability of potential reference genes for qRT-PCR in K. melanthera."
22,The Journal of biological chemistry ,12361955; ,"T-lymphocyte activation requires sustained Ca(2+) signaling dependent upon capacitative Ca(2+) entry (CCE). The protein(s) that forms the stores-operated Ca(2+) channel (SOCC) responsible for CCE has long been sought but has not been definitively identified. Members of the TRPV family (transient receptor potential superfamily-vanilloid receptor subfamily) of channel genes have been proposed to encode SOCCs responsible for CCE in non-excitable cells. Here we present evidence that a member of the TRPV group, CaT1, is involved in generating I(CRAC), the CCE current that is necessary for T-cell activation. CaT1 is expressed in Jurkat T-lymphocytes. When overexpressed in Jurkat cells, CaT1 produces a Ca(2+) entry current that mimics the endogenous I(CRAC) in its dependence on external Ca(2+), inactivation by elevated concentration of internal Ca(2+), and pharmacological block by capsaicin. Overexpressed CaT1 is partially regulated by the release of internal Ca(2+) stores via thapsigargin or receptor-mediated generation of inositol 1,4,5-trisphosphate. A pore-region mutant of CaT1, TRIA-CaT1, fails to carry Ca(2+) currents and associates with co-expressed wild type CaT1 to functionally suppress permeation of Ca(2+) ions. Expression of the TRIA-CaT1 mutant in Jurkat cells results in suppression of the endogenous I(CRAC). Taken together these results indicate that CaT1 is the channel protein that contributes to T-lymphocyte SOCCs either alone or as a subunit in a heterogeneous channel complex."
23,Bioresource technology ,33845315; ,"Here, Metal-Organic Frameworks (MOFs) coupling simultaneous saccharification and fermentation for butyric acid production using rice straw was constructed. Clostridium tyrobutyricum Δack::cat1, with deleted ack gene and overexpressed cat1 gene, was used as the butyric-acid-fermentation strain. MOFs was employed as a photocatalyst to improve butyric acid production, as well as a cytoprotective exoskeleton with immobilized cellulase for the hydrolysis of rice straw. Thus, the survival of MOFs-coated strain, the thermostability and pH stability of cellulase both remarkably increased. As a result, 55% of rice straw was hydrolyzed in 24 h, and the final concentration of butyric acid in visible light was increased by 14.23% and 29.16% compared to uncoated and coated strain without visible light, respectively. Finally, 26.25 g/L of butyric acid with a productivity of 0.41 g/L·h in fed-batch fermentation was obtained. This novel process inspires green approach of abundant low-cost feedstocks utilization for chemical production."
24,Cells ,35203313; ,"Fibroblastic foci (FF) are characteristic features of usual interstitial pneumonia (UIP)/idiopathic pulmonary fibrosis (IPF) and one cardinal feature thought to represent a key mechanism of pathogenesis. Hence, FF have a high impact on UIP/IPF diagnosis in current guidelines. However, although less frequent, these histomorphological hallmarks also occur in other fibrotic pulmonary diseases. Currently, there is therefore a gap in knowledge regarding the underlying molecular similarities and differences of FF in different disease entities."
