Unnamed: 0,journal_title,pubmed,abstract
14,In vitro cellular & developmental biology. Animal ,22806968; ,"Endometrial cancer is a major problem for women but only a small number of comprehensively characterized cell models are available for studies. Here, we established a new cell line derived from a Stage IIIc(1) Grade 2 endometrial adenocarcinoma. The cell line, designated LHY-821, was characterized using growth curve, karyotyping, immunohistochemical staining, immunoblotting, drug sensitivity assay, invasion assay, and xenografting in nude mice. LHY-821 has a doubling time of about 46 h and a colony-forming efficiency of approximately 71 %. These cells expresse high levels of progesterone receptor but not estrogen receptor and are sensitive to medroxyprogesterone acetate (MPA). LHY-821 also expresses pan-cytokeratin, PTEN, p53, β-catenin, IGF-1, and IGF-2. In addition, karyotype analysis revealed that LHY-821 possessed a near diploid karyotype including 6q-, 10p-, Xq-, 13q+, 17p+, and Triplo-12. LHY-821 showed highly tumorigenicity in nude mice (100 %) and weak invasiveness. Chemosensitivity tests showed that LHY-821 was sensitive to both carboplatin and paclitaxel. LHY-821 is an immortalized cell line which had survived more than 80 serial passages; it may provide a novel tool to study the molecular mechanism and potential treatment for endometrial cancer."
15,"Bioscience, biotechnology, and biochemistry ",31478783; ,"The circadian clock enables plants to adapt to their environment and control numerous physiological processes, including plant-pathogen interactions. However, it is unknown if the circadian clock controls nonhost resistance (NHR) in plants. To find out, we analyzed microarray data with the web-based tool DIURNAL to reveal that NHR-related genes show rhythmic expression patterns in the absence of a pathogen challenge. Our clock mutant analyses found that cca1-1 lhy-11 double mutant showed compromised NHR to Pyricularia oryzae, suggesting that two components of the circadian clock, CCA1 and LHY, are involved in regulating penetration resistance in Arabidopsis thaliana. By analyzing pen2 double mutants, we revealed that CCA1 contributes to time-of-day-dependent penetration resistance as a positive regulator and that LHY regulates post-penetration resistance as a positive regulator. Taken together, our results suggest that the circadian clock regulates the time-of-day-dependent NHR to P. oryzae and thus enables A. thaliana to counteract pathogen attacks.Abbreviations: EE: evening element; ETI: effector-triggered immunity; NHR: nonhost resistance; PAMP: pathogen-associated molecular pattern; PTI: PAMP-triggered immunity; SAR: systemic acquired resistance."
16,The New England journal of medicine ,26886418; ,"Patients with ischemic stroke or transient ischemic attack (TIA) are at increased risk for future cardiovascular events despite current preventive therapies. The identification of insulin resistance as a risk factor for stroke and myocardial infarction raised the possibility that pioglitazone, which improves insulin sensitivity, might benefit patients with cerebrovascular disease."
17,Plant physiology and biochemistry : PPB ,35065375; ,"Pre-mRNA splicing is an essential step during gene expression, which takes place in the spliceosome, a large dynamic ribonucleoprotein complex assembled in a stepwise manner. During the last decade, several spliceosomal mutants were functionally identified to cause a lengthened circadian period by introducing intron retention defects into circadian clock genes in Arabidopsis. However, the spliceosomal components that play opposite roles in the circadian period via alternative 3' splice site (Alt 3'ss) are largely unknown. Here, we demonstrated that XCT (XAP5 CIRCADIAN TIMEKEEPER) is a key spliceosomal component associated with multiple splicing factors. Moreover, genome-wide analysis revealed that inactivation of XCT particularly results in defects in Alt 3'ss recognition by RNA sequencing. Further analysis indicated that a strong alteration in the 3' splice sites of LHY and TIC partly accounts for the shortened circadian period of the xct mutant. Therefore, our results demonstrated that mutations in XCT shortened the circadian period partly by alternative splicing of LHY and TIC particularly in 3' splice site recognition, which provides new insight into the link between alternative splicing and the circadian clock."
18,Frontiers in plant science ,32973836; ,"Stylosanthes species are economically important tropical and subtropical forage legumes which are generally vulnerable to chilling and frost. Fine-stem stylo (S. guianensis var. intermedia) has the most superior cold tolerance among all stylo species. A REVEILLE (RVE) gene, SgRVE6, was cloned from fine-stem stylo. Bioinformatic analysis suggests that SgRVE6 encodes a transcription factor of 292 amino acid residues, which belongs to the LATE ELONGATED HYPOCOTYL/CIRCADIAN CLOCK ASSOCIATED 1-LIKE (LCL) subgroup of RVE family and contains a SHAQKYF-class MYB domain and a LCL domain. SgRVE6 is universally expressed in root, stem and leaf tissues of fine-stem stylo and is rapidly up-regulated in all tested tissues under cold stress. Over-expressing SgRVE6 affects expression of 21 circadian clock genes, up-regulates expression of 6 nucleotide binding domain leucine-rich repeats (NB-LRR) encoding genes associated with tobacco cold tolerance, improves physiological responses to low temperature, and endows the transgenic tobaccos with higher tolerance to cold stress. This is the first time a study investigates the biological function of RVE6 in cold responses of plant species."
19,The New phytologist ,30324736; ,
20,The New phytologist ,30191576; ,"The LATE ELONGATED HYPOCOTYL (LHY) transcription factor functions as part of the oscillatory mechanism of the Arabidopsis circadian clock. This paper reports the genome-wide analysis of its binding targets and reveals a role in the control of abscisic acid (ABA) biosynthesis and downstream responses. LHY directly repressed expression of 9-cis-epoxycarotenoid dioxygenase enzymes, which catalyse the rate-limiting step of ABA biosynthesis. This suggested a mechanism for the circadian control of ABA accumulation in wild-type plants. Consistent with this hypothesis, ABA accumulated rhythmically in wild-type plants, peaking in the evening. LHY-overexpressing plants had reduced levels of ABA under drought stress, whereas loss-of-function mutants exhibited an altered rhythm of ABA accumulation. LHY also bound the promoter of multiple components of ABA signalling pathways, suggesting that it may also act to regulate responses downstream of the hormone. LHY promoted expression of ABA-responsive genes responsible for increased tolerance to drought and osmotic stress but alleviated the inhibitory effect of ABA on seed germination and plant growth. This study reveals a complex interaction between the circadian clock and ABA pathways, which is likely to make an important contribution to plant performance under drought and osmotic stress conditions."
21,The EMBO journal ,12574129; ,"The transcription factor LHY and the related protein CCA1 perform overlapping functions in a regulatory feedback loop that is closely associated with the circadian oscillator of Arabidopsis: Overexpression of LHY abolished function of the circadian clock in constant light, but rhythmic expression of several circadian clock-regulated transcripts was observed under light- dark cycles. These oscillations correlated with high amplitude changes in LHY protein levels, caused by light-induced translation of the LHY transcript. Increases in LHY protein levels were also observed in light-grown wild-type plants, when light signals coincided with the circadian-regulated peak of LHY transcription at dawn. Unexpectedly, translational induction coincided with acute downregulation of LHY transcript levels. We suggest that the simultaneous translational induction and transcriptional repression of LHY expression play a role to narrow the peak of LHY protein synthesis at dawn and increase the robustness and accuracy of circadian oscillations. Strong phase shifting responses to light signals were observed in plants lacking function of LHY, CCA1 or both, suggesting that light-regulated expression of these proteins does not mediate entrainment of the clock to light-dark cycles."
22,The Plant journal : for cell and molecular biology ,16212608; ,"Evidence has been presented that a negative transcriptional feedback loop formed by the genes CIRCADIAN CLOCK ASSOCIATED (CCA1), LATE ELONGATED HYPOCOTYL (LHY) and TIMING OF CAB (TOC1) constitutes the core of the central oscillator of the circadian clock in Arabidopsis. Here we show that these genes are expressed at constant, basal levels in dark-grown seedlings. Transfer to constant red light (Rc) rapidly induces a biphasic pattern of CCA1 and LHY expression, and a reciprocal TOC1 expression pattern over the first 24 h, consistent with initial induction of this synchronous oscillation by the light signal. We have used this assay with wild-type and mutant seedlings to examine the role of these oscillator components, and to determine the function of ELF3 and ELF4 in their light-regulated expression. The data show that whereas TOC1 is necessary for light-induced CCA1/LHY expression, the combined absence of CCA1 and LHY has little effect on the pattern of light-induced TOC1 expression, indicating that the negative regulatory arm of the proposed oscillator is not fully functional during initial seedling de-etiolation. By contrast, ELF4 is necessary for light-induced expression of both CCA1 and LHY, and conversely, CCA1 and LHY act negatively on light-induced ELF4 expression. Together with the observation that the temporal light-induced expression profile of ELF4 is counter-phased to that of CCA1 and LHY and parallels that of TOC1, these data are consistent with a previously unrecognized negative-feedback loop formed by CCA1/LHY and ELF4 in a manner analogous to the proposed CCA1/LHY/TOC1 oscillator. ELF3 is also necessary for light-induced CCA1/LHY expression, but it is neither light-induced nor clock-regulated during de-etiolation. Taken together, the data suggest (a) that ELF3, ELF4, and TOC1 all function in the primary, phytochrome-mediated light-input pathway to the circadian oscillator in Arabidopsis; and (b) that this oscillator consists of two or more interlocking transcriptional feedback loops that may be differentially operative during initial light induction and under steady-state circadian conditions in entrained green plants."
23,"Plant biotechnology (Tokyo, Japan) ",31274993; ,"The circadian clock plays important roles in the control of photoperiodic flowering in Arabidopsis. Mutations in the LATE ELONGATED HYPOCOTYL (LHY) and CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) genes (lhy;cca1) accelerate flowering under short days, whereas lhy;cca1 delays flowering under continuous light (LL). The lhy;cca1 mutant also exhibits short hypocotyls and petioles under LL. However, the molecular mechanisms underlying the regulation of both flowering time and organ lengths in the LHY/CCA1-dependent pathway are not fully understood. To address these questions, we performed EMS mutagenesis of the lhy-12;cca1-101 line and screened for mutations that enhance the lhy;cca1 phenotypes under LL. In this screen, we identified a novel allele of dwarf4 (dwf4) and named it petanko 5 (pta5). A similar level of enhancement of the delay in flowering was observed in these two dwf4 mutants when combined with the lhy;cca1 mutations. The lhy;cca1 and dwf4 mutations did not significantly affect the expression level of the floral repressor gene FLC under LL. Our results suggest that a defect in brassinosteroid (BR) signaling delayed flowering independent of the FLC expression level, at least in plants with the lhy;cca1 mutation grown under LL. The dwf4/pta5 mutation did not enhance the late-flowering phenotype of plants overexpressing SVP under LL, suggesting that SVP and BR function in a common pathway that controls flowering time. Our results suggest that the lhy;cca1 mutant exhibits delayed flowering due to both the BR signaling-dependent and -independent pathways under LL."
24,Journal of integrative plant biology ,28429400; ,"The circadian clock is known to increase plant growth and fitness, and is thought to prepare plants for photosynthesis at dawn and dusk; whether this happens in nature was unknown. We transformed the native tobacco, Nicotiana attenuata to silence two core clock components, NaLHY (irLHY) and NaTOC1 (irTOC1). We characterized growth and light- and dark-adapted photosynthetic rates (Ac ) throughout a 24 h day in empty vector-transformed (EV), irLHY, and irTOC1 plants in the field, and in NaPhyA- and NaPhyB1-silenced plants in the glasshouse. The growth rates of irLHY plants were lower than those of EV plants in the field. While irLHY plants reduced Ac earlier at dusk, no differences between irLHY and EV plants were observed at dawn in the field. irLHY, but not EV plants, responded to light in the night by rapidly increasing Ac . Under controlled conditions, EV plants rapidly increased Ac in the day compared to dark-adapted plants at night; irLHY plants lost these time-dependent responses. The role of NaLHY in gating photosynthesis is independent of the light-dependent reactions and red light perceived by NaPhyA, but not NaPhyB1. In summary, the circadian clock allows plants not to respond photosynthetically to light at night by anticipating and gating red light-mediated in native tobacco."
25,The New phytologist ,26439540; ,"The rhythmic opening/closing and volatile emissions of flowers are known to attract pollinators at specific times. That these rhythms are maintained under constant light or dark conditions suggests a circadian clock involvement. Although a forward and reverse genetic approach has led to the identification of core circadian clock components in Arabidopsis thaliana, the involvement of these clock components in floral rhythms has remained untested, probably because of the weak diurnal rhythms in A. thaliana flowers. Here, we addressed the role of these core clock components in the flowers of the wild tobacco Nicotiana attenuata, whose flowers open at night, emit benzyl acetone (BA) scents and move vertically through a 140° arc. We first measured N. attenuata floral rhythms under constant light conditions. The results suggest that the circadian clock controls flower opening, BA emission and pedicel movement, but not flower closing. We generated transgenic N. attenuata lines silenced in the homologous genes of Arabidopsis LATE ELONGATED HYPOCOTYL (LHY) and ZEITLUPE (ZTL), which are known to be core clock components. Silencing NaLHY and NaZTL strongly altered floral rhythms in different ways, indicating that conserved clock components in N. attenuata coordinate these floral rhythms."
26,The Plant cell ,19011118; ,"The floral regulators GIGANTEA (GI), CONSTANS (CO), and FLOWERING LOCUS T (FT) play key roles in the photoperiodic flowering responses of the long-day plant Arabidopsis thaliana. The GI-CO-FT pathway is highly conserved in plants. Here, we demonstrate that the circadian clock proteins LATE ELONGATED HYPOCOTYL (LHY) and CIRCADIAN CLOCK-ASSOCIATED1 (CCA1) not only repressed the floral transition under short-day and long-day conditions but also accelerated flowering when the plants were grown under continuous light (LL). LHY and CCA1 accelerated flowering in LL by promoting FT expression through a genetic pathway that appears to be independent of the canonical photoperiodic pathway involving GI and CO proteins. A genetic screen revealed that the late-flowering phenotype of the lhy;cca1 double mutant under LL was suppressed through mutations in SHORT VEGETATIVE PHASE (SVP), a MADS box transcription factor. Yeast two-hybrid analysis demonstrated an interaction between SVP and FLOWERING LOCUS C, and genetic analysis indicated that these two proteins act as partially redundant repressors of flowering time. SVP protein accumulated in lhy;cca1 plants under LL. We propose a model in which LHY and CCA1 accelerate flowering in part by reducing the abundance of SVP and thereby antagonizing its capacity to repress FT expression under LL."
27,"Plant, cell & environment ",29532482; ,"One of the ways in which plants can respond to temperature is via alternative splicing (AS). Previous work showed that temperature changes affected the splicing of several circadian clock gene transcripts. Here, we investigated the role of RNA-binding splicing factors (SFs) in temperature-sensitive AS of the clock gene LATE ELONGATED HYPOCOTYL (LHY). We characterized, in wild type plants, temperature-associated isoform switching and expression patterns for SF transcripts from a high-resolution temperature and time series RNA-seq experiment. In addition, we employed quantitative RT-PCR of SF mutant plants to explore the role of the SFs in cooling-associated AS of LHY. We show that the splicing and expression of several SFs responds sufficiently, rapidly, and sensitively to temperature changes to contribute to the splicing of the 5'UTR of LHY. Moreover, the choice of splice site in LHY was altered in some SF mutants. The splicing of the 5'UTR region of LHY has characteristics of a molecular thermostat, where the ratio of transcript isoforms is sensitive to temperature changes as modest as 2 °C and is scalable over a wide dynamic range of temperature. Our work provides novel insight into SF-mediated coupling of the perception of temperature to post-transcriptional regulation of the clock."
28,Current biology : CB ,12007421; ,"Circadian clocks are autoregulatory, endogenous mechanisms that allow organisms, from bacteria to humans, to advantageously time a wide range of activities within 24-hr environmental cycles. CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY) are thought to be important components of the circadian clock in the model plant Arabidopsis. The similar circadian phenotypes of lines overexpressing either CCA1 or LHY have suggested that the functions of these two transcription factors are largely overlapping. cca1-1 plants, which lack CCA1 protein, show a short-period phenotype for the expression of several genes when assayed under constant light conditions. This suggests that LHY function is able to only partially compensate for the lack of CCA1 protein, resulting in a clock with a faster pace in cca1-1 plants. We have obtained plants lacking CCA1 and with LHY function strongly reduced, cca1-1 lhy-R, and show that these plants are unable to maintain sustained oscillations in both constant light and constant darkness. However, these plants exhibit some circadian function in light/dark cycles, showing that the Arabidopsis circadian clock is not entirely dependent on CCA1 and LHY activities."
29,Biochemical and biophysical research communications ,20599732; ,"Ubiquitin is a small polypeptide and ubiquitination is the post-translational modification by ubiquitin protein, resulting in degradation of target proteins by the 26S proteasome complex. Here, we found that E3 ubiquitin ligase SINAT5, an Arabidopsis homologue of the Drosophila SINA RING-finger protein, interacts directly with LHY, a component of the circadian oscillator, and DET1, a negative regulator of light-regulated gene expression. We also found that SINAT5 has E3 ubiquitination activity for LHY but not for DET1. Interestingly, LHY ubiquitination by SINAT5 was inhibited by DET1. Late flowering of sinat5 mutants indicates that flowering time can be controlled by DET1 through regulation of LHY stability by SINAT5."
30,Journal of integrative plant biology ,29989313; ,"Circadian clock is the endogenous time-keeping machinery that synchronizes an organism's metabolism, behavior, and physiology to the daily light-dark circles, thereby contributing to organismal fitness. Iron (Fe) is an essential micronutrient for all organisms and it plays important roles in diverse processes of plant growth and development. Here, we show that, in Arabidopsis thaliana, loss of the central clock genes, CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY), results in both reduced Fe uptake and photosynthetic efficiency, whereas CCA1 overexpression confers the opposite effects. We show that root Fe(III) reduction activity, and expression of FERRIC REDUCTION OXIDASE 2 (FRO2) and IRON-REGULATED TRANSPORTER 1 (IRT1) exhibit circadian oscillations, which are disrupted in the cca1 lhy double mutant. Furthermore, CCA1 directly binds to the specific regulatory regions of multiple Fe homeostasis genes and activates their expression. Thus, this study established that, in plants, CCA1 and LHY function as master regulators that maintain cyclic Fe homeostasis."
31,Circulation ,35384713; ,"Familial hypertrophic cardiomyopathy (HCM) is the most common inherited cardiac disease and is typically caused by mutations in genes encoding sarcomeric proteins that regulate cardiac contractility. HCM manifestations include left ventricular hypertrophy and heart failure, arrythmias, and sudden cardiac death. How dysregulated sarcomeric force production is sensed and leads to pathological remodeling remains poorly understood in HCM, thereby inhibiting the efficient development of new therapeutics."
32,Plant signaling & behavior ,21822060; ,"Photoperiodic flowering in Arabidopsis is controlled not only by floral activators such as GI, CO, and FT, but also by repressors such as SVP and FLC. Double mutations in LHY and CCA1 (lhy;cca1) accelerated flowering under short days, mainly by the GI-CO dependent pathway. In contrast, lhy;cca1 showed delayed flowering under continuous light (LL), probably due to the GI-CO independent pathway. This late-flowering phenotype was suppressed by svp, flc, and elf3. However, how SVP, FLC, and ELF3 mediate LHY/CCA1 and flowering time is not fully understood. We found that lhy;cca1 exhibited short hypocotyls and petioles under LL, but the molecular mechanism for these effects has not been elucidated. To address these questions, we performed a screen for mutations that suppress either or both of the lhy;cca1 phenotypes under LL, using two different approaches. We identified two novel mutations, a dominant (del1) and a recessive (phyB-2511) allele of phyB. The flowering times of single mutants of three phyB alleles, hy3-1, del1, and phyB-2511, are almost the same and earlier than those of wild-type plants. A similar level of acceleration of flowering time was observed in all three phyB mutants tested when combined with the late-flowering mutations co-2 and SVPox. However, the effect of phyB-2511 on lhy;cca1 was different from those by hy3-1 or del1. svp-3 did not strongly enhance the early-flowering phenotypes of phyB-2511 or del1. These results suggest that light signaling via PhyB may affect factors downstream of the clock proteins, controlling flowering time and organ elongation. phyB mutations with different levels of effects on lhy;cca1-dependent late flowering would be useful to determine a specific role for PHYB in the flowering pathway controlled by lhy;cca1 under LL."
