Unnamed: 0,journal_title,pubmed,abstract,pmcid
20,International journal of molecular sciences ,28587227; ,"The influence of temperature on plants is essential. However, our knowledge on the intricate regulation process underlying heat stress (HS) response in plants is limited. Recently, information about thermal sensors in vivo has begun to emerge. In this study, another primary environmental stimulus, light, was verified once again to work with temperature synergistically on plants, through the modulation of numerous biological processes. With the application of transcriptomic analysis, a substantial number of heat-responsive genes were detected involved in both light- and phytohormone-mediated pathways in Arabidopsis. During this process, phytoreceptor phyB acts as a molecular switch to turn on or turn off several other genes HS response, under different light conditions. Furthermore, a morphological study showed the afunction of phyB enhanced plants thermal tolerance, confirming the important role of this phytochrome in temperature perception and response in plants. This study adds data to the picture of light and temperature signaling cross-talk in plants, which is important for the exploration of complicated HS responses or light-mediated mechanisms. Furthermore, based on its influence on Arabidopsis thermal response in both morphological and physiological levels, phyB is a photoreceptor, as revealed before, as well as an essential thermal sensor in plants.",PMC5486017
23,Proceedings of the National Academy of Sciences of the United States of America ,31776262; ,"Phytochrome B (phyB) absorbs red light signals and subsequently initiates a set of molecular events in plant cells to promote photomorphogenesis. Here we show that phyB directly interacts with B-BOX CONTAINING PROTEIN 4 (BBX4), a positive regulator of red light signaling, and positively controls its abundance in red light. BBX4 associates with PHYTOCHROME INTERACTING FACTOR 3 (PIF3) and represses PIF3 transcriptional activation activity and PIF3-controlled gene expression. The degradation of BBX4 in darkness is dependent on CONSTITUTIVELY PHOTOMORPHOGENIC 1 (COP1) and the 26S proteasome system. Collectively, BBX4 acts as a key component of the phyB-PIF3-mediated signaling module and fine tunes the red light action. phyB promotes the accumulation of BBX4, which in turn serves to repress PIF3 action through direct physical interaction to promote photomorphogenic development in red light.",PMC6925995
24,Plant communications ,35529947; ,"WRKY transcription factors are known mostly for their function in plant defense, abiotic stress responses, senescence, seed germination, and development of the pollen, embryo, and seed. Here, we report the regulatory functions of two WRKY proteins in photomorphogenesis and PIF4 expression. PIF4 is a critical signaling hub in light, temperature, and hormonal signaling pathways. Either its expression or its accumulation peaks in the morning and afternoon. WRKY2 and WRKY10 form heterodimers and recognize their target site in the PIF4 promoter near the MYB element that is bound by CCA1 and LHY under red and blue light. WRKY2 and WRKY10 interact directly with CCA1/LHY to enhance their targeting but interact indirectly with SHB1. The two WRKY proteins also interact with phyB, and their interaction enhances the targeting of CCA1 and LHY to the PIF4 promoter. SHB1 associates with the WRKY2 and WRKY10 loci and enhances their expression in parallel with the PIF4 expression peaks. This forward regulatory loop further sustains the accumulation of the two WRKY proteins and the targeting of CCA1/LHY to the PIF4 locus. In summary, interactions of two WRKY proteins with CCA1/LHY and phyB maintain an optimal expression level of PIF4 toward noon and afternoon, which is essential to sketch the circadian pattern of PIF4 expression.",PMC9073327
28,PloS one ,36584071; ,[This corrects the article DOI: 10.1371/journal.pone.0166177.].,PMC9803155
29,Plant physiology ,28188273; ,"Circadian rhythm of stomatal aperture is mainly regulated by light/darkness. Blue and red light induce stomatal opening through different mechanisms that are mediated by special receptors. ROP2, a member of Rho GTPase family in Arabidopsis (Arabidopsisthaliana), has been found to negatively regulate light-induced stomatal opening. However, the upstream guanine nucleotide exchange factor (GEF) RopGEFs have not been revealed, and it is unclear which photoreceptor is required for the action of RopGEFs-ROPs. Here, we showed that RopGEF2 acted as a negative regulator in phytochrome B (phyB)-mediated red light-induced stomatal opening. Meanwhile, ROP7, another member of ROP family, acting redundantly with ROP2, was regulated by RopGEF2 in this process. RopGEF2 interacted with ROP7 and ROP2 and enhanced their intrinsic nucleotide exchange rates. Furthermore, the direct interactions between phyB and RopGEF2 were detected in vitro and in plants, and phyB enhanced the GEF activity of RopGEF2 toward both ROP7 and ROP2 under light. In addition, RopGEF4 functioned redundantly with RopGEF2 in red light-induced stomatal opening by activating both ROP7 and ROP2, and RopGEF2/RopGEF4 acted genetically downstream of phyB; however, the GEF activity of RopGEF4 was not directly enhanced by phyB. These results revealed that red light-activated phyB enhances the GEF activities of RopGEF2 and RopGEF4 directly or indirectly, and then activate both ROP7 and ROP2 in guard cells. The negative mechanism triggered by phyB prevents the excessive stomatal opening under red light.",PMC5462004
30,PloS one ,31233537; ,"The integration of conflicting signals in response to environmental constraints is essential to efficient plant growth and development. The light-dependent and the stress hormone abscisic acid (ABA)-dependent signaling pathways play opposite roles in many aspects of plant development. While these pathways have been extensively studied, the complex nature of their molecular dialogue is still obscure. When mobilized by the Arabidopsis thaliana β-glucosidase 1 (AtBG1), the glucose ester-conjugated inactive form of ABA has proven to be a source of the active hormone that is essential for the adaptation of the plant to water deficit, as evidenced by the impaired stomatal closure of atbg1 mutants in response to water stress. In a suppressor screen designed to identify the molecular components of AtBG1-associated physiological and developmental mechanisms, we identified the mutation variant of AtBG1 traits (vat1), a new mutant allele of the red light/far-red light photoreceptor PHYTOCHROME B (PHYB). Our study reveals that atbg1 plants harbor increased stomatal density in addition to impaired stomatal closure. We also provide evidence that the vat1/phyb mutation can restore the apparent transpiration of the atbg1 mutant by decreasing stomatal aperture and restoring a stomatal density similar to wild-type plants. Expression of key regulators of stomatal development showed a crosstalk between AtBG1-mediated ABA signaling and PHYB-mediated stomatal development. We conclude that the AtBG1-dependent regulation of ABA homeostasis and the PHYB-mediated light signaling pathways act antagonistically in the control of stomatal development.",PMC6590796
33,Scientific reports ,28743949; ,"Phytochromes are the main plant photoreceptors regulating multiple developmental processes. However, the regulatory network of phytochrome-mediated plant reproduction has remained largely unexplored. There are three phytochromes in rice, phyA, phyB and phyC. No changes in fertility are observed in the single mutants, whereas the seed-setting rate of the phyA phyB double mutant is significantly reduced. Histological and cytological analyses showed that the reduced fertility of the phyA phyB mutant was due to defects in both anther and pollen development. The four anther lobes in the phyA phyB mutant were developed at different stages with fewer pollen grains, most of which were aborted. At the mature stage, more than one lobe in the double mutant was just consisted of several cell layers. To identify genes involved in phytochrome-mediated anther development, anther transcriptomes of phyA, phyB and phyA phyB mutants were compared to that of wild-type rice respectively. Analysis of 2,241 double-mutant-specific differentially expressed transcripts revealed that the metabolic profiles, especially carbohydrate metabolism, were altered greatly, and heat-shock responses were activated in the double mutant. This study firstly provides valuable insight into the complex regulatory networks underlying phytochrome-mediated anther and pollen development in plants, and offers novel clues for hybrid rice breeding.",PMC5527001
37,Frontiers in plant science ,26074936; ,"Phytochrome B (phyB), a member of the phytochrome family in rice, plays important roles in regulating a range of developmental processes and stress responses. However, little information about the mechanisms involved in the phyB-mediated light signaling pathway has been reported in rice. MicroRNAs (miRNAs) also perform important roles in plant development and stress responses. Thus, it is intriguing to explore the role of miRNAs in the phyB-mediated light signaling pathway in rice. In this study, comparative high-throughput sequencing and degradome analysis were used to identify candidate miRNAs and their targets that participate in the phyB-mediated light signaling pathway. A total of 720 known miRNAs, 704 novel miRNAs and 1957 target genes were identified from the fourth leaves of wild-type (WT) and phyB mutant rice at the five-leaf stage. Among them, 135 miRNAs showed differential expression, suggesting that the expression of these miRNAs is directly or indirectly under the control of phyB. In addition, 32 out of the 135 differentially expressed miRNAs were found to slice 70 genes in the rice genome. Analysis of these target genes showed that members of various transcription factor families constituted the largest proportion, indicating miRNAs are probably involved in the phyB-mediated light signaling pathway mainly by regulating the expression of transcription factors. Our results provide new clues for functional characterization of miRNAs in the phyB-mediated light signaling pathway, which should be helpful in comprehensively uncovering the molecular mechanisms of phytochrome-mediated photomorphogenesis and stress responses in plants.",PMC4448008
38,International journal of molecular sciences ,26030677; ,"It has been reported that Arabidopsis phytochrome (phy) A and phyB are crucial photoreceptors that display synergistic and antagonistic action during seedling de-etiolation in multiple light signaling pathways. However, the functional relationship between phyA and phyB is not fully understood under different kinds of light and in response to different intensities of such light. In this work, we compared hypocotyl elongation of the phyA-211 phyB-9 double mutant with the wild type, the phyA-211 and phyB-9 single mutants under different intensities of far-red (FR), red (R), blue (B) and white (W) light. We confirmed that phyA and phyB synergistically promote seedling de-etiolation in B-, B plus R-, W- and high R-light conditions. The correlation of endogenous ELONGATED HYPOCOTYL 5 (HY5) protein levels with the trend of hypocotyl elongation of all lines indicate that both phyA and phyB promote seedling photomorphogenesis in a synergistic manner in high-irradiance white light. Gene expression analyses of RBCS members and HY5 suggest that phyB and phyA act antagonistically on seedling development under FR light.",PMC4490439
39,Plant diversity ,35281129; ,"The phytochrome B mediated light signaling integrates with various phytohormone signalings to control plant immune response. However, it is still unclear whether phyB-mediated light signaling has an effect on the biosynthesis of jasmonate during plant defense response against Botrytis cinerea. In this study, we demonstrated that phyB-mediated light signaling has a role in this process. Initially, we confirmed that phyb plants were obviously less resistant to B. cinerea while phyB overexpressing plants showed significantly enhanced resistance. We also found that the expression of numerous JA biosynthesis genes was promoted upon treatment with red or white light when compared to that of darkness, and that this promotion is dependent on phyB. Consistent with the gene expression results, phyb plants accumulated reduced pool of JA-Ile, indicating that phyB-mediated light signaling indeed increased JA biosynthesis. Further genetic analysis showed that light-mediated JAZ9 degradation and phyB-enhanced resistance were dependent on the receptor COI1, and that pif1/3/4/5 (pifq) can largely rescue the severe symptom of phyb. Taken together, our study demonstrates that phyB may participate in plant defense against B. cinerea through the modulation of the biosynthesis of JA.",PMC8897165
42,Plant physiology ,10759510; ,"Light regulates various aspects of plant growth, and the photoreceptor phytochrome B (phyB) mediates many responses to red light. In a screen for Arabidopsis mutants with phenotypes similar to those of phyB mutants, we isolated two new elf3 mutants. One has weaker morphological phenotypes than previously identified elf3 alleles, but still abolishes circadian rhythms under continuous light. Like phyB mutants, elf3 mutants have elongated hypocotyls and petioles, flower early, and have defects in the red light response. However, we found that elf3 mutations have an additive interaction with a phyB null mutation, with phyA or hy4 null mutations, or with a PHYB overexpression construct, and that an elf3 mutation does not prevent nuclear localization of phyB. These results suggest that either there is substantial redundancy in phyB and elf3 function, or the two genes regulate distinct signaling pathways.",PMC58949
44,Plant physiology ,26893475; ,"Phytochrome B (phyB) enables plants to modify shoot branching or tillering in response to varying light intensities and ratios of red and far-red light caused by shading and neighbor proximity. Tillering is inhibited in sorghum genotypes that lack phytochrome B (58M, phyB-1) until after floral initiation. The growth of tiller buds in the first leaf axil of wild-type (100M, PHYB) and phyB-1 sorghum genotypes is similar until 6 d after planting when buds of phyB-1 arrest growth, while wild-type buds continue growing and develop into tillers. Transcriptome analysis at this early stage of bud development identified numerous genes that were up to 50-fold differentially expressed in wild-type/phyB-1 buds. Up-regulation of terminal flower1, GA2oxidase, and TPPI could protect axillary meristems in phyB-1 from precocious floral induction and decrease bud sensitivity to sugar signals. After bud growth arrest in phyB-1, expression of dormancy-associated genes such as DRM1, GT1, AF1, and CKX1 increased and ENOD93, ACCoxidase, ARR3/6/9, CGA1, and SHY2 decreased. Continued bud outgrowth in wild-type was correlated with increased expression of genes encoding a SWEET transporter and cell wall invertases. The SWEET transporter may facilitate Suc unloading from the phloem to the apoplast where cell wall invertases generate monosaccharides for uptake and utilization to sustain bud outgrowth. Elevated expression of these genes was correlated with higher levels of cytokinin/sugar signaling in growing buds of wild-type plants.",PMC4824614
46,PloS one ,22110748; ,"Phytochromes sense red/far-red light and trigger a cascade of physiological responses in plant. Here, a phytochrome B homolog, GmPHYB1, was amplified from the soybean genome, and its expression profiles were obtained for various parts of the plant and at various developmental stages. The gene was ectopically expressed in Arabidopsis thaliana, driven by CaMV 35S promoter, to study the physiological functions of the gene product. The overexpressors of GmPHYB1 behaved similarly to those of AtPHYB, but with some subtle differences with respect to the acceleration of flowering under short day conditions and the growth of the hypocotyl under certain light fluence rate. The results suggested that this soybean PHYB homolog was well conserved both at the level of sequence and physiological function.",PMC3218029
48,Plant physiology ,9276958; ,"We examined the photocontrol of seed germination in the phyA/phyB double mutants of Arabidopsis thaliana seeds. Dormant phyA/phyB seeds showed a red/far-red light (R/FR)-reversible induction of seed germination. This suggests the involvement of at least one other phytochrome, phyC, D, and/or E, in controlling seed germination. We designated this spectrally active phytochrome in phyA/phyB as phyX. The full reversibility of the R-induced germination by subsequent FR pulses, and the observation that the response is reversible by FR, even after a 3-h R treatment, indicates that this phyX response belongs to the low-fluence-response type. Thus, this phyX response is functionally related to phyB-mediated responses. However, in contrast to phyB-controlled seed germination, this phyX-mediated response needs a prolonged imbibition period and exhibits reversibility kinetics different from that needed for phyB. Furthermore, this phyX response requires a prolonged irradiation time and shows a fluence rate response dependency, showing a similarity to the high irradiance response of photomorphogenesis. Thus, phyX, with regard to its control of seed germination, is a functionally new phytochrome that shares some characteristics of both phyA- and phyB-mediated responses.",PMC158442
49,The Plant cell ,35478037; ,"Plant thermosensors help optimize plant development and architecture for ambient temperatures, and morphogenic adaptation to warm temperatures has been extensively studied in recent years. Phytochrome B (phyB)-mediated thermosensing and the gene regulatory networks governing thermomorphogenic responses are well understood at the molecular level. However, it is unknown how plants manage their responsiveness to fluctuating temperatures in inducing thermomorphogenic behaviors. Here, we demonstrate that SUPPRESSOR OF MAX2 1 (SMAX1), known as a karrikin signaling repressor, enhances the thermosensitivity of hypocotyl morphogenesis in Arabidopsis thaliana. Hypocotyl thermomorphogenesis was largely disrupted in SMAX1-deficient mutants. SMAX1 interacts with phyB to alleviate its suppressive effects on the transcription factor activity of PHYTOCHROME-INTERACTING FACTOR 4 (PIF4), promoting hypocotyl thermomorphogenesis. Interestingly, the SMAX1 protein is slowly destabilized at warm temperatures, preventing hypocotyl overgrowth. Our findings indicate that the thermodynamic control of SMAX1 abundance serves as a molecular gatekeeper for phyB function in thermosensitizing PIF4-mediated hypocotyl morphogenesis.",PMC9252492
50,Plant signaling & behavior ,21822060; ,"Photoperiodic flowering in Arabidopsis is controlled not only by floral activators such as GI, CO, and FT, but also by repressors such as SVP and FLC. Double mutations in LHY and CCA1 (lhy;cca1) accelerated flowering under short days, mainly by the GI-CO dependent pathway. In contrast, lhy;cca1 showed delayed flowering under continuous light (LL), probably due to the GI-CO independent pathway. This late-flowering phenotype was suppressed by svp, flc, and elf3. However, how SVP, FLC, and ELF3 mediate LHY/CCA1 and flowering time is not fully understood. We found that lhy;cca1 exhibited short hypocotyls and petioles under LL, but the molecular mechanism for these effects has not been elucidated. To address these questions, we performed a screen for mutations that suppress either or both of the lhy;cca1 phenotypes under LL, using two different approaches. We identified two novel mutations, a dominant (del1) and a recessive (phyB-2511) allele of phyB. The flowering times of single mutants of three phyB alleles, hy3-1, del1, and phyB-2511, are almost the same and earlier than those of wild-type plants. A similar level of acceleration of flowering time was observed in all three phyB mutants tested when combined with the late-flowering mutations co-2 and SVPox. However, the effect of phyB-2511 on lhy;cca1 was different from those by hy3-1 or del1. svp-3 did not strongly enhance the early-flowering phenotypes of phyB-2511 or del1. These results suggest that light signaling via PhyB may affect factors downstream of the clock proteins, controlling flowering time and organ elongation. phyB mutations with different levels of effects on lhy;cca1-dependent late flowering would be useful to determine a specific role for PHYB in the flowering pathway controlled by lhy;cca1 under LL.",PMC3260714
52,Genetics ,9611171; ,"Accumulating evidence indicates that individual members of the phytochrome family of photoreceptors have differential but interactive roles in controlling plant responses to light. To investigate possible cross-regulation of these receptors, we have identified monoclonal antibodies that specifically detect each of the five Arabidopsis phytochromes, phyA to phyE (phytochrome A holoprotein; PHYA, phytochrome A apoprotein; PHYA, phytochrome A gene; phyA, mutant allele of phytochrome A gene), on immunoblots and have used them to analyze the effects of phyA and phyB null mutations on the levels of all five family members. In phyB mutants, but not in phyA mutants, a four- to six-fold reduction in the level of phyC is observed in tissues grown either in the dark or in the light. Coordinate expression of phyB and phyC is induced in the phyB mutant background by the presence of a complementing PHYB transgene. However, in transgenic lines that overexpress phyB 15- to 20-fold, phyC is not similarly overexpressed. In these overexpressor lines, the levels of phyA, phyC, and phyD are increased two- to four-fold over normal in light-grown but not dark-grown seedlings. These observations indicate that molecular mechanisms for coordination or cross-regulation of phytochrome levels are active in Arabidopsis and have implications for the interpretation of phytochrome mutants and overexpressor lines.",PMC1460191
53,Plant physiology ,12228380; ,"Phytochrome wild-type gene-[beta]-glucuronidase (PHY-GUS) gene fusions were used in transgenic Arabidopsis to compare the activity levels and light regulation of the PHYA and PHYB promoters and to identify the photoreceptors mediating this regulation. In dark-grown seedlings, both promoters are 4-fold more active in shoots than in roots,but the PHYA promoter is nearly 20-fold more active than that of PHYB in both organs. In shoots, white light represses the activities of the PHYA and PHYB promoters 10- and 2-fold, respectively, whereas in roots light has no effect on the PHYA promoter but increases PHYB promoter activity 2-fold. Consequently, PHYA promoter activity remains higher than that of PHYB in light in both shoots (5-fold) and roots (11-fold). Experiments with narrow-waveband light and photomorphogenic mutants suggest that no single photoreceptor is necessary for full white-light-directed PHYA repression in shoots, but that multiple, independent photoreceptor pathways are sufficient alone or in combination. In contrast, phytochrome B appears both necessary and sufficient for a light-mediated decrease in PHYB activity in shoots, and phytochrome A mediates a far-red-light-stimulated increase in PHYB promoter activity. Together, the data indicate that the PHYA and PHYB genes are regulated in divergent fashion at the transcriptional level, both developmentally and by the spectral distribution of the prevailing light, and that this regulation may be important to the photosensory function of the two photoreceptors.",PMC157156
56,The Plant cell ,24951480; ,"In Arabidopsis thaliana, the cryptochrome and phytochrome photoreceptors act together to promote photomorphogenic development. The cryptochrome and phytochrome signaling mechanisms interact directly with CONSTITUTIVELY PHOTOMORPHOGENIC1 (COP1), a RING motif-containing E3 ligase that acts to negatively regulate photomorphogenesis. COP1 interacts with and ubiquitinates the transcription factors that promote photomorphogenesis, such as ELONGATED HYPOCOTYL5 and LONG HYPOCOTYL IN FAR-RED1 (HFR1), to inhibit photomorphogenic development. Here, we show that COP1 physically interacts with PIF3-LIKE1 (PIL1) and promotes PIL1 degradation via the 26S proteasome. We further demonstrate that phyB physically interacts with PIL1 and enhances PIL1 protein accumulation upon red light irradiation, probably through suppressing the COP1-PIL1 association. Biochemical and genetic studies indicate that PIL1 and HFR1 form heterodimers and promote photomorphogenesis cooperatively. Moreover, we demonstrate that PIL1 interacts with PIF1, 3, 4, and 5, resulting in the inhibition of the transcription of PIF direct-target genes. Our results reveal that PIL1 stability is regulated by phyB and COP1, likely through physical interactions, and that PIL1 coordinates with HFR1 to inhibit the transcriptional activity of PIFs, suggesting that PIL1, HFR1, and PIFs constitute a subset of antagonistic basic helix-loop-helix factors acting downstream of phyB and COP1 to regulate photomorphogenic development.",PMC4114944
